tag,departamento,provincia
amazonas_bagua,AMAZONAS,BAGUA
amazonas_bongara,AMAZONAS,BONGARA
amazonas_chachapoyas,AMAZONAS,CHACHAPOYAS
amazonas_condorcanqui,AMAZONAS,CONDORCANQUI
amazonas_luya,AMAZONAS,LUYA
amazonas_rodriguez_de_mendoza,AMAZONAS,RODRIGUEZ DE MENDOZA
amazonas_utcubamba,AMAZONAS,UTCUBAMBA
ancash_aija,ANCASH,AIJA
ancash_antonio_raymondi,ANCASH,ANTONIO RAYMONDI
ancash_asuncion,ANCASH,ASUNCION
ancash_bolognesi,ANCASH,BOLOGNESI
ancash_carhuaz,ANCASH,CARHUAZ
ancash_carlos_fermin_fitzcarrald,ANCASH,CARLOS FERMIN FITZCARRALD
ancash_casma,ANCASH,CASMA
ancash_corongo,ANCASH,CORONGO
ancash_huaraz,ANCASH,HUARAZ
ancash_huari,ANCASH,HUARI
ancash_huarmey,ANCASH,HUARMEY
ancash_huaylas,ANCASH,HUAYLAS
ancash_mariscal_luzuriaga,ANCASH,MARISCAL LUZURIAGA
ancash_ocros,ANCASH,OCROS
ancash_pallasca,ANCASH,PALLASCA
ancash_pomabamba,ANCASH,POMABAMBA
ancash_recuay,ANCASH,RECUAY
ancash_santa,ANCASH,SANTA
ancash_sihuas,ANCASH,SIHUAS
ancash_yungay,ANCASH,YUNGAY
apurimac_abancay,APURIMAC,ABANCAY
apurimac_andahuaylas,APURIMAC,ANDAHUAYLAS
apurimac_antabamba,APURIMAC,ANTABAMBA
apurimac_aymaraes,APURIMAC,AYMARAES
apurimac_chincheros,APURIMAC,CHINCHEROS
apurimac_cotabambas,APURIMAC,COTABAMBAS
apurimac_grau,APURIMAC,GRAU
arequipa_arequipa,AREQUIPA,AREQUIPA
arequipa_camana,AREQUIPA,CAMANA
arequipa_caraveli,AREQUIPA,CARAVELI
arequipa_castilla,AREQUIPA,CASTILLA
arequipa_caylloma,AREQUIPA,CAYLLOMA
arequipa_condesuyos,AREQUIPA,CONDESUYOS
arequipa_islay,AREQUIPA,ISLAY
arequipa_la_union,AREQUIPA,LA UNION
ayacucho_cangallo,AYACUCHO,CANGALLO
ayacucho_huamanga,AYACUCHO,HUAMANGA
ayacucho_huanca_sancos,AYACUCHO,HUANCA SANCOS
ayacucho_huanta,AYACUCHO,HUANTA
ayacucho_la_mar,AYACUCHO,LA MAR
ayacucho_lucanas,AYACUCHO,LUCANAS
ayacucho_parinacochas,AYACUCHO,PARINACOCHAS
ayacucho_paucar_del_sara_sara,AYACUCHO,PAUCAR DEL SARA SARA
ayacucho_sucre,AYACUCHO,SUCRE
ayacucho_victor_fajardo,AYACUCHO,VICTOR FAJARDO
ayacucho_vilcas_huaman,AYACUCHO,VILCAS HUAMAN
cajamarca_cajabamba,CAJAMARCA,CAJABAMBA
cajamarca_cajamarca,CAJAMARCA,CAJAMARCA
cajamarca_celendin,CAJAMARCA,CELENDIN
cajamarca_chota,CAJAMARCA,CHOTA
cajamarca_contumaza,CAJAMARCA,CONTUMAZA
cajamarca_cutervo,CAJAMARCA,CUTERVO
cajamarca_hualgayoc,CAJAMARCA,HUALGAYOC
cajamarca_jaen,CAJAMARCA,JAEN
cajamarca_san_ignacio,CAJAMARCA,SAN IGNACIO
cajamarca_san_marcos,CAJAMARCA,SAN MARCOS
cajamarca_san_miguel,CAJAMARCA,SAN MIGUEL
cajamarca_san_pablo,CAJAMARCA,SAN PABLO
cajamarca_santa_cruz,CAJAMARCA,SANTA CRUZ
callao_callao,CALLAO,CALLAO
cusco_acomayo,CUSCO,ACOMAYO
cusco_anta,CUSCO,ANTA
cusco_calca,CUSCO,CALCA
cusco_canas,CUSCO,CANAS
cusco_canchis,CUSCO,CANCHIS
cusco_chumbivilcas,CUSCO,CHUMBIVILCAS
cusco_cusco,CUSCO,CUSCO
cusco_espinar,CUSCO,ESPINAR
cusco_la_convencion,CUSCO,LA CONVENCION
cusco_paruro,CUSCO,PARURO
cusco_paucartambo,CUSCO,PAUCARTAMBO
cusco_quispicanchi,CUSCO,QUISPICANCHI
cusco_urubamba,CUSCO,URUBAMBA
huancavelica_acobamba,HUANCAVELICA,ACOBAMBA
