anp_nombre,anp_categoria,download_path
Abra Malaga Thastayoc - Royal Cinclodes,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_abra_malaga_thastayoc_royal_cinclodes.gpkg
Abra Patricia - Alto Nieva,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_abra_patricia_alto_nieva.gpkg
Amazon Shelter,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_amazon_shelter.gpkg
Arroyo Negro,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_arroyo_negro.gpkg
Aurora,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_aurora.gpkg
Bahuaja 1,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_bahuaja_1.gpkg
Bioparque Amazonico - Bosque de Huayo,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_bioparque_amazonico_bosque_de_huayo.gpkg
Bosque Benjamin II,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_bosque_benjamin_ii.gpkg
Bosque Benjamin III,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_bosque_benjamin_iii.gpkg
Bosque Berlin,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_bosque_berlin.gpkg
Bosque Cachil,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_bosque_cachil.gpkg
Bosque de Churumazu,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_bosque_de_churumazu.gpkg
Bosque de Neblina Aypate - Olleros,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_bosque_de_neblina_aypate_olleros.gpkg
Bosque de Nogal y Bosque de Puentecilla,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_bosque_de_nogal_y_bosque_de_puentecilla.gpkg
Bosque de Palmeras de la Comunidad Campesina Taulia Molinopampa,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_bosque_de_palmeras_de_la_comunidad_campesina_taulia_molinopampa.gpkg
Bosque Natural El Canoncillo,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_bosque_natural_el_canoncillo.gpkg
Bosque Seco Amotape,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_bosque_seco_amotape.gpkg
Bosque Seco de Chililique Alto,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_bosque_seco_de_chililique_alto.gpkg
Bosque Seco de Colina Juan Velasco Alvarado,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_bosque_seco_de_colina_juan_velasco_alvarado.gpkg
Bosque Seco de la Comunidad Campesina Cesar Vallejo de Palo Blanco,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_bosque_seco_de_la_comunidad_campesina_cesar_vallejo_de_palo_blanco.gpkg
Bosque Seco San Juan de los Guayaquiles,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_bosque_seco_san_juan_de_los_guayaquiles.gpkg
Bosque Urum,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_bosque_urum.gpkg
Bosques de Cuyas Cuchayo,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_bosques_de_cuyas_cuchayo.gpkg
Bosques de Neblina y Paramos de Samanga,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_bosques_de_neblina_y_paramos_de_samanga.gpkg
Bosques Montanos y Paramos Chicuate - Chinguelas,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_bosques_montanos_y_paramos_chicuate_chinguelas.gpkg
Bosques Montanos y Paramos de Huaricancha,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_bosques_montanos_y_paramos_de_huaricancha.gpkg
Botafogo,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_botafogo.gpkg
Buen Retiro,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_buen_retiro.gpkg
Camino Verde Baltimore,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_camino_verde_baltimore.gpkg
Campo Verde,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_campo_verde.gpkg
Cavernas de Leo,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_cavernas_de_leo.gpkg
Chakra Educativa,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_chakra_educativa.gpkg
Chaparri,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_chaparri.gpkg
Checca,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_checca.gpkg
Comunal Cujillo,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_comunal_cujillo.gpkg
Comunal San Pablo - Catarata Gocta,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_comunal_san_pablo_catarata_gocta.gpkg
Comunidad Nativa Once de Agosto Rio Ucayali,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_comunidad_nativa_once_de_agosto_rio_ucayali.gpkg
Comunidad Nativa San Jorge del Rio Maranon,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_comunidad_nativa_san_jorge_del_rio_maranon.gpkg
Comunidad Nativa Tibi Playa I Zona Rio Ucayali,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_comunidad_nativa_tibi_playa_i_zona_rio_ucayali.gpkg
Copallin,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_copallin.gpkg
Darshan Ashram,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_darshan_ashram.gpkg
Ebio Kiabamene,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_ebio_kiabamene.gpkg
El Bosque Encantado de Sho'llet,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_el_bosque_encantado_de_shollet.gpkg
El Cortijo,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_el_cortijo.gpkg
El Cortijo Centro Piedras,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_el_cortijo_centro_piedras.gpkg
Espiritu del Monte,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_espiritu_del_monte.gpkg
Fundo Cadena,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_fundo_cadena.gpkg
Fundo Las Neblinas,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_fundo_las_neblinas.gpkg
Fundo Miguel I,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_fundo_miguel_i.gpkg
Fundo Rosita,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_fundo_rosita.gpkg
Fundo San Isidro El Labrador,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_fundo_san_isidro_el_labrador.gpkg
Gotas de Agua II,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_gotas_de_agua_ii.gpkg
Hakim & Cumorah,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_hakim_cumorah.gpkg
Hatun Queuna - Quishuarani Ccollana,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_hatun_queuna_quishuarani_ccollana.gpkg
Hierba Buena - Allpayacu,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_hierba_buena_allpayacu.gpkg
Huaylla Belen - Colcamar,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_huaylla_belen_colcamar.gpkg
Huayllapa,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_huayllapa.gpkg
Huiquilla,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_huiquilla.gpkg
Ilish Pichacoto,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_ilish_pichacoto.gpkg
Japu - Bosque Ukumari Llaqta,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_japu_bosque_ukumari_llaqta.gpkg
Jirishanca,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_jirishanca.gpkg
Juningue,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_juningue.gpkg
Kakiri Uka,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_kakiri_uka.gpkg
Knoya - Supru,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_knoya_supru.gpkg
Kuntur Wachana,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_kuntur_wachana.gpkg
La Huerta del Chaparri,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_la_huerta_del_chaparri.gpkg
La Niebla Forest,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_la_niebla_forest.gpkg
La Pampa del Burro,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_la_pampa_del_burro.gpkg
