anp_nombre,anp_categoria,download_path
ABRA MALAGA THASTAYOC ROYAL CINCLODES,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_abra_malaga_thastayoc_royal_cinclodes.gpkg
ABRA PATRICIA ALTO NIEVA,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_abra_patricia_alto_nieva.gpkg
AMAZON SHELTER,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_amazon_shelter.gpkg
ARROYO NEGRO,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_arroyo_negro.gpkg
AURORA,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_aurora.gpkg
BAHUAJA I,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_bahuaja_1.gpkg
BIOPARQUE AMAZONICO BOSQUE DE HUAYO,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_bioparque_amazonico_bosque_de_huayo.gpkg
BOSQUE BENJAMIN II,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_bosque_benjamin_ii.gpkg
BOSQUE BENJAMIN III,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_bosque_benjamin_iii.gpkg
BOSQUE BERLIN,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_bosque_berlin.gpkg
BOSQUE CACHIL,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_bosque_cachil.gpkg
BOSQUE DE CHURUMAZU,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_bosque_de_churumazu.gpkg
BOSQUE DE NEBLINA AYPATE OLLEROS,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_bosque_de_neblina_aypate_olleros.gpkg
BOSQUE DE NOGAL Y BOSQUE DE PUENTECILLA,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_bosque_de_nogal_y_bosque_de_puentecilla.gpkg
BOSQUE DE PALMERAS DE LA COMUNIDAD CAMPESINA TAULIA MOLINOPAMPA,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_bosque_de_palmeras_de_la_comunidad_campesina_taulia_molinopampa.gpkg
BOSQUE NATURAL EL CANONCILLO,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_bosque_natural_el_canoncillo.gpkg
BOSQUE SECO AMOTAPE,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_bosque_seco_amotape.gpkg
BOSQUE SECO DE CHILILIQUE ALTO,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_bosque_seco_de_chililique_alto.gpkg
BOSQUE SECO DE COLINA JUAN VELASCO ALVARADO,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_bosque_seco_de_colina_juan_velasco_alvarado.gpkg
BOSQUE SECO DE LA COMUNIDAD CAMPESINA CESAR VALLEJO DE PALO BLANCO,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_bosque_seco_de_la_comunidad_campesina_cesar_vallejo_de_palo_blanco.gpkg
BOSQUE SECO SAN JUAN DE LOS GUAYAQUILES,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_bosque_seco_san_juan_de_los_guayaquiles.gpkg
BOSQUE URUM,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_bosque_urum.gpkg
BOSQUES DE CUYAS CUCHAYO,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_bosques_de_cuyas_cuchayo.gpkg
BOSQUES DE NEBLINA Y PARAMOS DE SAMANGA,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_bosques_de_neblina_y_paramos_de_samanga.gpkg
BOSQUES MONTANOS Y PARAMOS CHICUATE CHINGUELAS,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_bosques_montanos_y_paramos_chicuate_chinguelas.gpkg
BOSQUES MONTANOS Y PARAMOS DE HUARICANCHA,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_bosques_montanos_y_paramos_de_huaricancha.gpkg
BOTAFOGO,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_botafogo.gpkg
BUEN RETIRO,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_buen_retiro.gpkg
CAMINO VERDE BALTIMORE,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_camino_verde_baltimore.gpkg
CAMPO VERDE,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_campo_verde.gpkg
CAVERNAS DE LEO,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_cavernas_de_leo.gpkg
CHAKRA EDUCATIVA,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_chakra_educativa.gpkg
CHAPARRI,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_chaparri.gpkg
CHECCA,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_checca.gpkg
COMUNAL CUJILLO,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_comunal_cujillo.gpkg
COMUNAL SAN PABLO CATARATA GOCTA,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_comunal_san_pablo_catarata_gocta.gpkg
COMUNIDAD NATIVA ONCE DE AGOSTO RIO UCAYALI,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_comunidad_nativa_once_de_agosto_rio_ucayali.gpkg
COMUNIDAD NATIVA SAN JORGE DEL RIO MARANON,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_comunidad_nativa_san_jorge_del_rio_maranon.gpkg
COMUNIDAD NATIVA TIBI PLAYA I ZONA RIO UCAYALI,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_comunidad_nativa_tibi_playa_i_zona_rio_ucayali.gpkg
COPALLIN,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_copallin.gpkg
DARSHAN ASHRAM,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_darshan_ashram.gpkg
EBIO KIABAMENE,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_ebio_kiabamene.gpkg
EL BOSQUE ENCANTADO DE SHOLLET,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_el_bosque_encantado_de_shollet.gpkg
EL CORTIJO,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_el_cortijo.gpkg
EL CORTIJO CENTRO PIEDRAS,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_el_cortijo_centro_piedras.gpkg
ESPIRITU DEL MONTE,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_espiritu_del_monte.gpkg
FUNDO CADENA,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_fundo_cadena.gpkg
FUNDO LAS NEBLINAS,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_fundo_las_neblinas.gpkg
FUNDO MIGUEL I,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_fundo_miguel_i.gpkg
FUNDO ROSITA,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_fundo_rosita.gpkg
FUNDO SAN ISIDRO EL LABRADOR,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_fundo_san_isidro_el_labrador.gpkg
GOTAS DE AGUA II,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_gotas_de_agua_ii.gpkg
HAKIM & CUMORAH,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_hakim_cumorah.gpkg
HATUN QUEUNA QUISHUARANI CCOLLANA,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_hatun_queuna_quishuarani_ccollana.gpkg
HIERBA BUENA ALLPAYACU,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_hierba_buena_allpayacu.gpkg
HUAYLLA BELEN COLCAMAR,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_huaylla_belen_colcamar.gpkg
HUAYLLAPA,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_huayllapa.gpkg
HUIQUILLA,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_huiquilla.gpkg
ILISH PICHACOTO,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_ilish_pichacoto.gpkg
JAPU BOSQUE UKUMARI LLAQTA,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_japu_bosque_ukumari_llaqta.gpkg
JIRISHANCA,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_jirishanca.gpkg
JUNINGUE,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_juningue.gpkg
KAKIRI UKA,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_kakiri_uka.gpkg
