dep_name,prov_name,type,level,download_path
AMAZONAS,nill,complete,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_amazonas.gpkg
AMAZONAS,nill,simplified,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_amazonas_simplified.gpkg
ANCASH,nill,complete,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_ancash.gpkg
ANCASH,nill,simplified,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_ancash_simplified.gpkg
APURIMAC,nill,complete,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_apurimac.gpkg
APURIMAC,nill,simplified,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_apurimac_simplified.gpkg
AREQUIPA,nill,complete,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_arequipa.gpkg
AREQUIPA,nill,simplified,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_arequipa_simplified.gpkg
AYACUCHO,nill,complete,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_ayacucho.gpkg
AYACUCHO,nill,simplified,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_ayacucho_simplified.gpkg
CAJAMARCA,nill,complete,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_cajamarca.gpkg
CAJAMARCA,nill,simplified,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_cajamarca_simplified.gpkg
CALLAO,nill,complete,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_callao.gpkg
CALLAO,nill,simplified,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_callao_simplified.gpkg
CUSCO,nill,complete,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_cusco.gpkg
CUSCO,nill,simplified,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_cusco_simplified.gpkg
HUANCAVELICA,nill,complete,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_huancavelica.gpkg
HUANCAVELICA,nill,simplified,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_huancavelica_simplified.gpkg
HUANUCO,nill,complete,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_huanuco.gpkg
HUANUCO,nill,simplified,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_huanuco_simplified.gpkg
ICA,nill,complete,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_ica.gpkg
ICA,nill,simplified,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_ica_simplified.gpkg
JUNIN,nill,complete,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_junin.gpkg
JUNIN,nill,simplified,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_junin_simplified.gpkg
LA LIBERTAD,nill,complete,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_la_libertad.gpkg
LA LIBERTAD,nill,simplified,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_la_libertad_simplified.gpkg
LAMBAYEQUE,nill,complete,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_lambayeque.gpkg
LAMBAYEQUE,nill,simplified,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_lambayeque_simplified.gpkg
LIMA,nill,complete,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_lima.gpkg
LIMA,nill,simplified,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_lima_simplified.gpkg
LORETO,nill,complete,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_loreto.gpkg
LORETO,nill,simplified,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_loreto_simplified.gpkg
MADRE DE DIOS,nill,complete,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_madre_de_dios.gpkg
MADRE DE DIOS,nill,simplified,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_madre_de_dios_simplified.gpkg
MOQUEGUA,nill,complete,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_moquegua.gpkg
MOQUEGUA,nill,simplified,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_moquegua_simplified.gpkg
PASCO,nill,complete,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_pasco.gpkg
PASCO,nill,simplified,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_pasco_simplified.gpkg
PIURA,nill,complete,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_piura.gpkg
PIURA,nill,simplified,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_piura_simplified.gpkg
PUNO,nill,complete,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_puno.gpkg
PUNO,nill,simplified,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_puno_simplified.gpkg
SAN MARTIN,nill,complete,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_san_martin.gpkg
SAN MARTIN,nill,simplified,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_san_martin_simplified.gpkg
TACNA,nill,complete,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_tacna.gpkg
TACNA,nill,simplified,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_tacna_simplified.gpkg
TUMBES,nill,complete,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_tumbes.gpkg
TUMBES,nill,simplified,departamento,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep_tumbes_simplified.gpkg
